11254.6,18-03-04-11-08
11254.6,18-03-04-11-09
11254.6,18-03-04-11-10
11248.0,18-03-04-11-11
11248.0,18-03-04-11-12
11248.0,18-03-04-11-13
11248.0,18-03-04-11-14
11232.3,18-03-04-11-15
11232.3,18-03-04-11-16
11232.3,18-03-04-11-17
11232.3,18-03-04-11-18
11232.3,18-03-04-11-19
11232.3,18-03-04-11-20
11229.3,18-03-04-11-21
11229.3,18-03-04-11-22
11229.3,18-03-04-11-23
11229.3,18-03-04-11-24
11226.6,18-03-04-11-25
11226.6,18-03-04-11-26
11226.6,18-03-04-11-27
11226.6,18-03-04-11-28
11226.6,18-03-04-11-29
11226.6,18-03-04-11-30
11249.8,18-03-04-11-31
11249.8,18-03-04-11-32
11249.8,18-03-04-11-33
11249.8,18-03-04-11-34
11249.8,18-03-04-11-35
11242.1,18-03-04-11-36
11242.1,18-03-04-11-37
11242.1,18-03-04-11-38
11242.1,18-03-04-11-39
11241.3,18-03-04-11-40
11241.3,18-03-04-11-41
11241.3,18-03-04-11-42
11241.3,18-03-04-11-43
11241.3,18-03-04-11-44
11241.3,18-03-04-11-45
11244.2,18-03-04-11-46
11244.2,18-03-04-11-47
11244.2,18-03-04-11-48
11244.2,18-03-04-11-49
11252.0,18-03-04-11-50
11252.0,18-03-04-11-51
11252.0,18-03-04-11-52
11252.0,18-03-04-11-53
11252.0,18-03-04-11-54
11252.0,18-03-04-11-55
11247.1,18-03-04-11-56
11247.1,18-03-04-11-57
11247.1,18-03-04-11-58
11247.1,18-03-04-11-59
11247.1,18-03-04-12-00
11247.2,18-03-04-12-01
11247.2,18-03-04-12-02
11247.2,18-03-04-12-03
11247.2,18-03-04-12-04
11247.2,18-03-04-12-05
11244.9,18-03-04-12-06
11244.9,18-03-04-12-07
11244.9,18-03-04-12-08
11244.9,18-03-04-12-09
11241.9,18-03-04-12-10
11241.9,18-03-04-12-11
11241.9,18-03-04-12-12
11241.9,18-03-04-12-13
11241.9,18-03-04-12-14
11241.9,18-03-04-12-15
11246.7,18-03-04-12-16
11246.7,18-03-04-12-17
11246.7,18-03-04-12-18
11246.7,18-03-04-12-19
11246.7,18-03-04-12-20
11227.5,18-03-04-12-21
11227.5,18-03-04-12-22
11227.5,18-03-04-12-23
11227.5,18-03-04-12-24
11208.4,18-03-04-12-25
11208.4,18-03-04-12-26
11208.4,18-03-04-12-27
11208.4,18-03-04-12-28
11208.4,18-03-04-12-29
11208.4,18-03-04-12-30
11183.9,18-03-04-12-31
11183.9,18-03-04-12-32
11183.9,18-03-04-12-33
11183.9,18-03-04-12-34
11185.1,18-03-04-12-35
11185.1,18-03-04-12-36
11185.1,18-03-04-12-37
11185.1,18-03-04-12-38
11185.1,18-03-04-12-39
11185.1,18-03-04-12-40
11185.4,18-03-04-12-41
11185.4,18-03-04-12-42
11185.4,18-03-04-12-43
11185.4,18-03-04-12-44
11185.4,18-03-04-12-45
11169.7,18-03-04-12-46
11169.7,18-03-04-12-47
11169.7,18-03-04-12-48
11169.7,18-03-04-12-49
11169.7,18-03-04-12-50
11175.6,18-03-04-12-51
11175.6,18-03-04-12-52
11175.6,18-03-04-12-53
11175.6,18-03-04-12-54
11166.2,18-03-04-12-55
11166.2,18-03-04-12-56
11166.2,18-03-04-12-57
11166.2,18-03-04-12-58
11166.2,18-03-04-12-59
11166.2,18-03-04-13-00
11173.0,18-03-04-13-01
11173.0,18-03-04-13-02
11173.0,18-03-04-13-03
11173.0,18-03-04-13-04
11172.9,18-03-04-13-05
11172.9,18-03-04-13-06
11172.9,18-03-04-13-07
11172.9,18-03-04-13-08
11172.9,18-03-04-13-09
11158.3,18-03-04-13-10
11158.3,18-03-04-13-11
11158.3,18-03-04-13-12
11158.3,18-03-04-13-13
11158.3,18-03-04-13-14
11149.0,18-03-04-13-15
11149.0,18-03-04-13-16
11149.0,18-03-04-13-17
11149.0,18-03-04-13-18
11149.0,18-03-04-13-19
11144.5,18-03-04-13-20
11144.5,18-03-04-13-21
11144.5,18-03-04-13-22
11144.5,18-03-04-13-23
11144.5,18-03-04-13-24
11136.1,18-03-04-13-25
11136.1,18-03-04-13-26
11136.1,18-03-04-13-27
11136.1,18-03-04-13-28
11136.1,18-03-04-13-29
11159.3,18-03-04-13-30
11159.3,18-03-04-13-31
11159.3,18-03-04-13-32
11159.3,18-03-04-13-33
11159.3,18-03-04-13-34
11165.8,18-03-04-13-35
11165.8,18-03-04-13-36
11165.8,18-03-04-13-37
11165.8,18-03-04-13-38
11165.8,18-03-04-13-39
11191.6,18-03-04-13-40
11191.6,18-03-04-13-41
11191.6,18-03-04-13-42
11191.6,18-03-04-13-43
11191.6,18-03-04-13-44
11201.3,18-03-04-13-45
11201.3,18-03-04-13-46
11201.3,18-03-04-13-47
11201.3,18-03-04-13-48
11201.3,18-03-04-13-49
11222.3,18-03-04-13-50
11222.3,18-03-04-13-51
11222.3,18-03-04-13-52
11222.3,18-03-04-13-53
11218.6,18-03-04-13-54
11218.6,18-03-04-13-55
11218.6,18-03-04-13-56
11218.6,18-03-04-13-57
11218.6,18-03-04-13-58
11218.6,18-03-04-13-59
11215.9,18-03-04-14-00
11215.9,18-03-04-14-01
11215.9,18-03-04-14-02
11215.9,18-03-04-14-03
11215.9,18-03-04-14-04
11222.1,18-03-04-14-05
11222.1,18-03-04-14-06
11222.1,18-03-04-14-07
11222.1,18-03-04-14-08
11222.6,18-03-04-14-09
